"GeneID","SRR1568262","SRR1568263","SRR1568264","SRR6311328","SRR6311361","SRR6311362","SRR6311363","SRR6311364","SRR6311365","SRR6311366","SRR6311393","SRR6311394","SRR6311395","SRR6311396"
"AAEL020532","1","2","3","2","0","1","3","0","0","0","4","3","2","0"
"AAEL027741","4","3","2","0","0","0","0","0","0","0","0","0","0","0"
"AAEL012102","122","124","122","58","70","113","165","93","32","159","252","97","73","204"
"AAEL012106","9","11","8","98","9","3","2","14","4","0","170","83","1","11"
"AAEL012094","644","721","667","1293","718","961","1300","1460","884","1073","5165","4530","1932","2667"
"AAEL021681","0","0","0","43","0","0","0","3","1","0","2","6","0","6"
"AAEL012098","43","23","73","449","117","126","0","0","0","1","506","411","0","3"
"AAEL012109","9","8","14","0","35","19","0","0","3","0","19","11","2","23"
"AAEL012104","10","80","10","0","8","20","65","17","18","43","12","22","19","28"
"AAEL026799","31","30","21","0","2","15","8","24","21","18","105","126","3","18"
"AAEL012103","6","10","3","279","22","177","66","88","40","43","9","14","43","78"
"AAEL017167","1","0","0","0","4","44","4","18","0","0","46","21","3","3"
"AAEL012110","0","1","0","1158","385","445","44","75","77","78","10","6","1","515"
"AAEL012101","2","1","1","83","27","12","57","106","40","84","11","0","3","0"
"AAEL012107","331","223","446","0","7","0","0","0","0","4","4137","2991","311","491"
"AAEL012095","338","504","358","1947","512","435","971","828","678","829","822","1000","1669","2127"
"AAEL012105","23","45","28","132","27","123","77","140","62","129","261","300","198","711"
"AAEL012096","1","2","2","47","2","4","0","2","2","3","2","1","1469","3205"
"AAEL012099","2","2","4","288","69","176","97","59","74","101","42","31","59","359"
"AAEL027035","4","3","2","0","0","0","0","0","0","0","133","122","7","4"
"AAEL012100","275","338","318","127","15","51","75","84","82","171","902","1082","301","283"
"AAEL022538","25","37","24","862","173","421","30","69","8","15","273","190","46","110"
"AAEL014130","157","145","220","246","109","178","130","211","98","143","444","424","612","1111"
"AAEL014134","51","44","49","0","9","22","0","0","6","0","9","27","3","0"
"AAEL025548","11","8","9","32","1","0","14","0","4","0","22","14","33","8"
"AAEL021855","0","1","0","0","0","0","0","0","0","0","8","28","7","24"
"AAEL026394","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL025713","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL017048","0","1","0","0","0","0","0","0","0","0","7","14","22","89"
"AAEL023318","1","0","0","0","0","0","0","0","2","0","0","0","23","40"
"AAEL012796","2","3","3","1","12","43","16","0","13","8","22","19","32","48"
"AAEL011388","37","38","34","1","7","3","25","16","16","23","46","18","196","217"
"AAEL020295","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"AAEL011390","25","39","47","83","52","40","64","86","41","69","306","330","226","360"
"AAEL011377","1","5","3","26","14","4","5","7","7","15","35","25","20","11"
"AAEL011381","128","142","123","14587","8923","7117","5086","7123","4057","5456","2938","5442","5992","9820"
"AAEL011389","18","29","22","1","23","15","49","36","40","47","60","90","84","90"
"AAEL011382","107","143","149","0","29","0","72","79","96","103","170","261","400","348"
"AAEL025124","2","1","2","0","0","0","0","0","0","0","60","46","0","0"
"AAEL013369","34","22","35","53","15","17","115","96","69","71","838","736","184","328"
"AAEL011386","19","52","30","98","54","57","67","77","51","95","48","62","86","112"
"AAEL011383","60","37","67","38","5","16","108","93","57","115","601","608","858","1136"
"AAEL011379","11","9","15","179","57","32","186","283","188","186","154","143","212","354"
"AAEL011385","10","9","31","73","5","63","29","37","22","46","70","139","114","93"
"AAEL012233","776","1115","995","117","21","19","44","19","27","40","217","323","71","84"
"AAEL019446","8","5","13","2","5","34","32","21","17","42","117","228","88","87"
"AAEL024873","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"AAEL005278","0","0","0","0","3","9","1","6","7","4","1","14","23","49"
